#Age-groups.	Number.
#Census, 1886.	Census, 1396.	Census, 1906.	Census, 1916.
#Males.	Females.	Males.	Females.	Males.	Females.	Males.	Females.
Under 5 years	43,820	43,008	42,448	41,211	52,499	50,246	67,320	64,735
5 years and under 10 years	42,524	41,791	43,561	42,464	45,826	44,462	62,340	60,478
10 years and under 15 years	34,065	33,320	43,044	42,423	43,834	42,924	55,532	53,693
15 years and under 20 years	29,070	29,819	40,364	40,370	44,242	42,875	45,012	46,392
20 years and under 25 years	24,650	24,514	34,264	34,452	49,370	45,238	30,419	46,759
25 years and under 30 years	24,452	19,956	30,605	28,990	49,308	43,140	40,018	48,557
30 years and under 35 years	22,591	16,128	23,747	21,466	37,798	32,621	46,166	47,415
35 years and under 40 years	19,574	14,319	22,506	18,081	32,329	27,794	46,138	44,311
40 years and under 45 years	19,287	13,154	19,999	14,855	24,451	20,930	36,758	33,866
45 years and under 50 years	18,004	10,323	16,830	12,725	21,424	17,003	32,993	27,745
50 years and under 55 years	13,539	7,414	16,203	11,523	18,336	13,563	24,027	21,083
55 years and under 60 years	7,878	4,406	14,252	8,597	13,984	10,958	18,707	15,632
60 years and under 65 years	4,979	3,173	10,504	6,278	12,452	9,442	16,115	12,576
65 years and under 70 years	3,050	2,127	6,459	3,781	11,524	7,599	11,204	9,592
70 years and under 75 years	1,574	1,238	3,219	2,205	7,567	4,616	8,319	6,855
75 years and under 80 years	854	675	1,843	1,388	3,698	2,373	6,037	4,510
80 and over	525	390	982	879	1,865	1,546	3,979	2,900
Unspecified minors	54	76	26	18	35	28	54	60
Unspecified adults	1,731	430	559	239	466	212	637	515
