,date_death,age_group,military_binary,deaths,total deaths
45,1918-10-11 00:00:00,45-49,N,1,1
64,1918-10-17 00:00:00,35-39,N,1,1
69,1918-10-18 00:00:00,45-49,N,1,1
71,1918-10-19 00:00:00,20-24,N,1,1
80,1918-10-20 00:00:00,45-49,N,1,1
88,1918-10-23 00:00:00,0-4,N,1,2
94,1918-10-24 00:00:00,30-34,N,1,1
97,1918-10-25 00:00:00,0-4,N,1,2
102,1918-10-26 00:00:00,20-24,N,1,8
110,1918-10-27 00:00:00,0-4,N,1,4
118,1918-10-28 00:00:00,15-19,N,1,7
127,1918-10-29 00:00:00,0-4,N,1,10
140,1918-10-30 00:00:00,5-9,N,1,9
148,1918-10-31 00:00:00,0-4,N,1,14
163,1918-11-01 00:00:00,0-4,N,15,66
185,1918-11-02 00:00:00,0-4,N,2,22
203,1918-11-03 00:00:00,0-4,N,3,40
222,1918-11-04 00:00:00,0-4,N,3,45
241,1918-11-05 00:00:00,0-4,N,1,54
262,1918-11-06 00:00:00,0-4,N,7,73
286,1918-11-07 00:00:00,0-4,N,3,78
312,1918-11-08 00:00:00,0-4,N,3,98
335,1918-11-09 00:00:00,0-4,N,7,110
358,1918-11-10 00:00:00,0-4,N,6,120
382,1918-11-11 00:00:00,0-4,N,4,147
405,1918-11-12 00:00:00,0-4,N,12,204
428,1918-11-13 00:00:00,0-4,N,15,191
452,1918-11-14 00:00:00,0-4,N,14,209
476,1918-11-15 00:00:00,0-4,N,15,236
502,1918-11-16 00:00:00,0-4,N,20,281
527,1918-11-17 00:00:00,0-4,N,14,286
552,1918-11-18 00:00:00,0-4,N,26,348
578,1918-11-19 00:00:00,0-4,N,15,322
604,1918-11-20 00:00:00,0-4,N,21,348
629,1918-11-21 00:00:00,0-4,N,17,346
654,1918-11-22 00:00:00,0-4,N,32,337
677,1918-11-23 00:00:00,0-4,N,17,342
699,1918-11-24 00:00:00,0-4,N,25,304
723,1918-11-25 00:00:00,0-4,N,19,314
746,1918-11-26 00:00:00,0-4,N,23,300
772,1918-11-27 00:00:00,0-4,N,24,253
796,1918-11-28 00:00:00,0-4,N,11,213
818,1918-11-29 00:00:00,0-4,N,10,189
842,1918-11-30 00:00:00,0-4,N,16,177
863,1918-12-01 00:00:00,0-4,N,19,168
887,1918-12-02 00:00:00,0-4,N,23,160
909,1918-12-03 00:00:00,0-4,N,7,130
928,1918-12-04 00:00:00,0-4,N,10,106
950,1918-12-05 00:00:00,0-4,N,7,92
972,1918-12-06 00:00:00,0-4,N,7,79
992,1918-12-07 00:00:00,0-4,N,8,77
1011,1918-12-08 00:00:00,0-4,N,6,80
1030,1918-12-09 00:00:00,0-4,N,11,82
1051,1918-12-10 00:00:00,0-4,N,1,60
1071,1918-12-11 00:00:00,0-4,N,3,47
1089,1918-12-12 00:00:00,0-4,N,9,49
1108,1918-12-13 00:00:00,0-4,N,2,58
1129,1918-12-14 00:00:00,0-4,N,6,50
1150,1918-12-15 00:00:00,0-4,N,7,53
1169,1918-12-16 00:00:00,0-4,N,4,38
1189,1918-12-17 00:00:00,0-4,N,1,28
1205,1918-12-18 00:00:00,0-4,N,4,28
1223,1918-12-19 00:00:00,0-4,N,2,35
1239,1918-12-20 00:00:00,0-4,N,3,37
1257,1918-12-21 00:00:00,0-4,N,2,37
1275,1918-12-22 00:00:00,0-4,N,2,20
1289,1918-12-23 00:00:00,0-4,N,2,33
1305,1918-12-24 00:00:00,0-4,N,5,32
1319,1918-12-25 00:00:00,5-9,N,1,27
1335,1918-12-26 00:00:00,0-4,N,3,23
1349,1918-12-27 00:00:00,0-4,N,2,17
1362,1918-12-28 00:00:00,0-4,N,4,31
1378,1918-12-29 00:00:00,0-4,N,4,19
1389,1918-12-30 00:00:00,0-4,N,2,20
1403,1918-12-31 00:00:00,0-4,N,2,31
1419,1919-01-01 00:00:00,0-4,N,1,10
1426,1919-01-02 00:00:00,15-19,N,1,8
1434,1919-01-03 00:00:00,0-4,N,2,10
1443,1919-01-04 00:00:00,0-4,N,1,6
1448,1919-01-05 00:00:00,20-24,N,1,7
1455,1919-01-06 00:00:00,5-9,N,1,10
1465,1919-01-07 00:00:00,0-4,N,1,14
1473,1919-01-08 00:00:00,25-29,N,1,5
1479,1919-01-09 00:00:00,40-44,N,1,3
1483,1919-01-10 00:00:00,35-39,N,1,2
1485,1919-01-11 00:00:00,40-44,N,1,2
1490,1919-01-13 00:00:00,65-69,N,1,1
1491,1919-01-14 00:00:00,5-9,N,1,3
1495,1919-01-15 00:00:00,0-4,N,1,1
1497,1919-01-16 00:00:00,0-4,N,1,7
1503,1919-01-17 00:00:00,30-34,N,1,1
1507,1919-01-19 00:00:00,25-29,N,1,1
1508,1919-01-20 00:00:00,20-24,N,1,1
1510,1919-01-21 00:00:00,70-74,N,1,1
1515,1919-01-23 00:00:00,60-64,N,1,1
1516,1919-01-24 00:00:00,80-84,N,2,2
1519,1919-01-25 00:00:00,35-39,N,1,1
1520,1919-01-26 00:00:00,0-4,N,1,2
1523,1919-01-27 00:00:00,25-29,N,1,2
1526,1919-01-29 00:00:00,0-4,N,1,2
1528,1919-01-30 00:00:00,20-24,N,1,1
1551,1919-02-15 00:00:00,0-4,N,1,1
1561,1919-02-19 00:00:00,15-19,N,1,2
