,date_death,0-19 military,0-19 civilian,20-49 military,20-49 civilian,50+ military,50+ civilian
38,1918-10-08 00:00:00,0,0,2,0,0,0
40,1918-10-09 00:00:00,0,0,1,0,0,0
41,1918-10-10 00:00:00,0,0,1,0,0,0
42,1918-10-11 00:00:00,0,0,4,1,0,0
46,1918-10-12 00:00:00,0,0,6,0,0,0
50,1918-10-13 00:00:00,0,0,5,0,0,0
52,1918-10-14 00:00:00,0,0,5,0,0,0
55,1918-10-15 00:00:00,0,0,3,0,0,0
58,1918-10-16 00:00:00,0,0,9,0,0,0
62,1918-10-17 00:00:00,0,0,4,1,0,0
66,1918-10-18 00:00:00,0,0,5,1,0,0
71,1918-10-19 00:00:00,0,0,12,1,0,0
76,1918-10-20 00:00:00,0,0,13,1,0,0
81,1918-10-21 00:00:00,0,0,6,0,0,0
85,1918-10-22 00:00:00,0,0,10,0,0,0
88,1918-10-23 00:00:00,0,1,4,0,0,1
92,1918-10-24 00:00:00,0,0,6,1,0,0
97,1918-10-25 00:00:00,0,1,4,1,0,0
102,1918-10-26 00:00:00,0,0,5,4,0,4
110,1918-10-27 00:00:00,0,2,6,2,0,0
118,1918-10-28 00:00:00,0,1,6,5,0,1
127,1918-10-29 00:00:00,0,3,10,6,0,1
140,1918-10-30 00:00:00,0,1,3,3,0,5
148,1918-10-31 00:00:00,0,1,9,8,0,5
163,1918-11-01 00:00:00,0,21,3,23,0,22
185,1918-11-02 00:00:00,0,2,8,13,0,7
203,1918-11-03 00:00:00,0,4,15,18,0,18
222,1918-11-04 00:00:00,0,4,15,28,0,13
241,1918-11-05 00:00:00,0,5,10,30,0,19
262,1918-11-06 00:00:00,0,11,11,39,1,23
286,1918-11-07 00:00:00,0,8,21,37,0,33
312,1918-11-08 00:00:00,0,13,17,49,0,36
335,1918-11-09 00:00:00,0,13,19,64,0,33
358,1918-11-10 00:00:00,1,11,20,76,0,33
382,1918-11-11 00:00:00,0,9,19,102,0,36
405,1918-11-12 00:00:00,0,29,34,125,0,50
428,1918-11-13 00:00:00,0,34,30,114,1,43
452,1918-11-14 00:00:00,0,33,50,122,0,54
476,1918-11-15 00:00:00,1,30,43,155,0,51
502,1918-11-16 00:00:00,0,36,31,188,0,57
527,1918-11-17 00:00:00,1,42,37,195,1,49
552,1918-11-18 00:00:00,1,45,43,241,0,62
