date_death,N,Y
1918-10-08,0.0,2.0
1918-10-09,0.0,1.0
1918-10-10,0.0,1.0
1918-10-11,1.0,4.0
1918-10-12,0.0,6.0
1918-10-13,0.0,5.0
1918-10-14,0.0,5.0
1918-10-15,0.0,3.0
1918-10-16,0.0,9.0
1918-10-17,1.0,4.0
1918-10-18,1.0,5.0
1918-10-19,1.0,12.0
1918-10-20,1.0,13.0
1918-10-21,0.0,6.0
1918-10-22,0.0,10.0
1918-10-23,2.0,4.0
1918-10-24,1.0,6.0
1918-10-25,2.0,4.0
1918-10-26,8.0,5.0
1918-10-27,4.0,6.0
1918-10-28,7.0,6.0
1918-10-29,10.0,10.0
1918-10-30,9.0,3.0
1918-10-31,14.0,9.0
1918-11-01,66.0,3.0
1918-11-02,22.0,8.0
1918-11-03,40.0,15.0
1918-11-04,45.0,15.0
1918-11-05,54.0,10.0
1918-11-06,73.0,12.0
1918-11-07,78.0,21.0
1918-11-08,98.0,17.0
1918-11-09,110.0,19.0
1918-11-10,120.0,21.0
1918-11-11,147.0,19.0
1918-11-12,204.0,34.0
1918-11-13,191.0,31.0
1918-11-14,209.0,50.0
1918-11-15,236.0,44.0
1918-11-16,281.0,31.0
1918-11-17,286.0,39.0
1918-11-18,348.0,44.0
1918-11-19,322.0,36.0
1918-11-20,348.0,32.0
1918-11-21,346.0,37.0
1918-11-22,337.0,19.0
1918-11-23,342.0,24.0
1918-11-24,304.0,28.0
1918-11-25,314.0,29.0
1918-11-26,300.0,22.0
1918-11-27,253.0,24.0
1918-11-28,213.0,15.0
1918-11-29,189.0,14.0
1918-11-30,177.0,12.0
1918-12-01,168.0,10.0
1918-12-02,160.0,8.0
1918-12-03,130.0,6.0
1918-12-04,106.0,8.0
1918-12-05,92.0,5.0
1918-12-06,79.0,6.0
1918-12-07,77.0,2.0
1918-12-08,80.0,5.0
1918-12-09,82.0,4.0
1918-12-10,60.0,7.0
1918-12-11,47.0,2.0
1918-12-12,49.0,4.0
1918-12-13,58.0,6.0
1918-12-14,50.0,8.0
1918-12-15,53.0,3.0
1918-12-16,38.0,7.0
1918-12-17,28.0,2.0
1918-12-18,28.0,6.0
1918-12-19,35.0,1.0
1918-12-20,37.0,3.0
1918-12-21,37.0,1.0
1918-12-22,20.0,1.0
1918-12-23,33.0,1.0
1918-12-24,32.0,0.0
1918-12-25,27.0,0.0
1918-12-26,23.0,0.0
1918-12-27,17.0,2.0
1918-12-28,31.0,3.0
1918-12-29,19.0,1.0
1918-12-30,20.0,2.0
1918-12-31,31.0,1.0
1919-01-01,10.0,0.0
1919-01-02,8.0,1.0
1919-01-03,10.0,2.0
1919-01-04,6.0,0.0
1919-01-05,7.0,0.0
1919-01-06,10.0,2.0
1919-01-07,14.0,0.0
1919-01-08,5.0,0.0
1919-01-09,3.0,1.0
1919-01-10,2.0,1.0
1919-01-11,2.0,1.0
1919-01-12,0.0,1.0
1919-01-13,1.0,0.0
1919-01-14,3.0,1.0
1919-01-15,1.0,1.0
1919-01-16,7.0,1.0
1919-01-17,1.0,2.0
1919-01-19,1.0,1.0
1919-01-20,1.0,1.0
1919-01-21,1.0,0.0
1919-01-22,0.0,6.0
1919-01-23,1.0,1.0
1919-01-24,2.0,0.0
1919-01-25,1.0,2.0
1919-01-26,2.0,1.0
1919-01-27,2.0,1.0
1919-01-29,2.0,0.0
1919-01-30,1.0,0.0
1919-01-31,0.0,2.0
1919-02-02,0.0,1.0
1919-02-04,0.0,1.0
1919-02-05,0.0,5.0
1919-02-06,0.0,2.0
1919-02-07,0.0,1.0
1919-02-08,0.0,2.0
1919-02-10,0.0,2.0
1919-02-11,0.0,2.0
1919-02-12,0.0,5.0
1919-02-13,0.0,2.0
1919-02-14,0.0,2.0
1919-02-15,1.0,3.0
1919-02-16,0.0,6.0
1919-02-17,0.0,1.0
1919-02-18,0.0,2.0
1919-02-19,2.0,5.0
1919-02-20,0.0,7.0
1919-02-21,0.0,3.0
1919-02-22,0.0,2.0
1919-02-23,0.0,1.0
1919-02-24,0.0,2.0
1919-02-25,0.0,3.0
1919-02-27,0.0,1.0
