,date_death,age_group,military_binary,deaths,total deaths
0,1918-09-01 00:00:00,20-24,Y,1,1
1,1918-09-02 00:00:00,20-24,Y,4,6
3,1918-09-03 00:00:00,20-24,Y,2,4
6,1918-09-04 00:00:00,20-24,Y,5,23
11,1918-09-05 00:00:00,15-19,Y,1,16
16,1918-09-06 00:00:00,20-24,Y,4,9
20,1918-09-07 00:00:00,15-19,Y,1,5
25,1918-09-08 00:00:00,25-29,Y,1,2
27,1918-09-09 00:00:00,20-24,Y,1,1
28,1918-09-10 00:00:00,25-29,Y,1,1
29,1918-09-11 00:00:00,20-24,Y,1,2
31,1918-09-12 00:00:00,20-24,Y,1,2
33,1918-09-13 00:00:00,20-24,Y,1,3
35,1918-09-15 00:00:00,25-29,Y,1,2
37,1918-09-18 00:00:00,30-34,Y,1,1
38,1918-10-08 00:00:00,35-39,Y,1,2
40,1918-10-09 00:00:00,20-24,Y,1,1
41,1918-10-10 00:00:00,25-29,Y,1,1
42,1918-10-11 00:00:00,20-24,Y,1,4
46,1918-10-12 00:00:00,20-24,Y,1,6
50,1918-10-13 00:00:00,20-24,Y,4,5
52,1918-10-14 00:00:00,20-24,Y,3,5
55,1918-10-15 00:00:00,20-24,Y,1,3
58,1918-10-16 00:00:00,20-24,Y,6,9
62,1918-10-17 00:00:00,20-24,Y,1,4
66,1918-10-18 00:00:00,20-24,Y,3,5
72,1918-10-19 00:00:00,20-24,Y,3,12
76,1918-10-20 00:00:00,20-24,Y,4,13
81,1918-10-21 00:00:00,20-24,Y,1,6
85,1918-10-22 00:00:00,20-24,Y,2,10
89,1918-10-23 00:00:00,20-24,Y,2,4
92,1918-10-24 00:00:00,20-24,Y,3,6
98,1918-10-25 00:00:00,20-24,Y,1,4
103,1918-10-26 00:00:00,20-24,Y,4,5
112,1918-10-27 00:00:00,20-24,Y,1,6
119,1918-10-28 00:00:00,20-24,Y,2,6
130,1918-10-29 00:00:00,20-24,Y,3,10
142,1918-10-30 00:00:00,20-24,Y,3,3
150,1918-10-31 00:00:00,20-24,Y,3,9
168,1918-11-01 00:00:00,20-24,Y,1,3
187,1918-11-02 00:00:00,20-24,Y,2,8
206,1918-11-03 00:00:00,20-24,Y,6,15
225,1918-11-04 00:00:00,20-24,Y,5,15
245,1918-11-05 00:00:00,20-24,Y,5,10
267,1918-11-06 00:00:00,20-24,Y,2,12
291,1918-11-07 00:00:00,20-24,Y,9,21
317,1918-11-08 00:00:00,20-24,Y,6,17
339,1918-11-09 00:00:00,20-24,Y,3,19
