PUBLIC HOSPITALS.—AGES OF PATIENTS DISCHARGED OR DYING.
Ages of Patients, in Years.	1915.	1916.
Males.	Females.	Total.	Males.	Females.	Total.
Under 5	1,624	1,121	2,745	2,154	1,574	3,728
5 and under 10	1,607	1,249	2,856	2,106	1,767	3,873
10 ” 15	1,163	878	2,041	1,474	1,213	2,687
15 ” 25	4,083	2,513	6,596	4,357	2,896	7,253
25 ” 35	4,007	3,023	7,030	4,360	3,287	7,647
35 ” 45	2,707	1,887	4,594	2,944	2,037	4,981
45 ” 55	1,612	910	2,522	1,816	1,018	2,834
55 ” 65	1,229	527	1,756	1,363	539	1,902
65 and over	1,768	513	2,281	1,973	574	2,547
Unspecified	110	39	149	73	60	133
Totals	19,910	12,660	32,570	22,620	14,965	37,585
