Ages.	Males.	Females.	Total.
        Months.
Under 1	509	306	815
    1–3	108	87	195
    3–6	96	79	175
    6–12	114	95	209
        Years.
    1–2	111	93	204
    2–3	54	71	125
    3–4	32	33	65
    4–5	35	45	80
    5–10	127	92	219
  10–15	74	75	149
  15–20	92	88	180
  20–25	167	149	316
  25–30	174	189	363
  30–35	216	204	420
  35–40	263	189	452
  40–45	219	164	383
  45–50	245	201	446
  50–55	251	157	408
  55–60	324	196	520
  60–65	395	252	647
  65–70	407	272	679
  70–75	524	394	918
  75–80	582	366	948
  80–85	403	226	629
  85–90	181	125	306
  90–95	54	39	93
  95–100	9	11	20
100	..	1	1
      Totals	5,766	4,199	9,965
