# Year	Arrivals Males.	Arrivals Females.	Departures Males.	Departures Females.	Excess of Arrivals over Departures Males.	Excess of Arrivals over Departures Females	Net Migration Gain
1859	15,244	5,944	8,777	2,173	6,467	3,771	2,696
1860	5,460	3,475	2,149	722	3,311	2,753	558
1861	19,896	2,443	5,687	430	14,209	2,013	12,196
1862	27,005	7,285	12,695	604	14,310	6,681	7,629
1863	34,516	11,214	9,654	956	24,862	10,258	14,604
1864	12,882	8,049	10,879	1,525	2,003	6,524	−4,521
1865	13,227	5,689	5,326	1,281	7,901	4,408	3,493
1866	10,979	3,914	5,992	1,302	4,987	2,612	2,375
1867	7,581	3,545	5,075	1,192	2,506	2,353	153
1868	6,045	2,678	6,647	1,216	−602	1,462	−2,064
1869	6,302	2,601	4,001	1,261	2,301	1,340	961
1870	6,178	2,946	4,203	1,344	1,975	1,602	373
1871	7,526	2,557	4,041	1,256	3,485	1,301	2,184
1872	6,775	3,950	4,417	1,335	2,358	2,615	−257
1873	7,871	5,701	3,507	1,254	4,364	4,447	83
1874	25,830	18,135	4,367	1,492	21,463	16,643	4,820
1875	19,558	12,179	4,727	1,740	14,831	10,439	4,392
1876	11,524	6,890	4,677	1,782	6,847	5,108	1,739
1877	8,104	4,883	4,696	1,915	3,408	2,968	440
1878	10,671	5,592	4,138	1,623	6,533	3,969	2,564
1879	15,186	8,771	3,852	1,382	11,334	7,389	3,945
1880	9,564	5,590	5,816	2,107	3,748	3,483	265
1881	6,643	3,045	5,705	2,367	938	678	260
1882	7,042	3,903	5,082	2,374	1,960	1,529	431
1883	11,218	7,997	6,230	2,956	4,988	5,041	−53
1884	12,475	7,546	7,303	3,397	5,172	4,149	1,023
1885	10,766	5,433	7,866	3,829	2,900	1,604	1,296
1886	11,068	5,033	10,442	4,595	626	438	188
1887	9,224	4,465	8,434	4,278	790	187	603
1888	9,112	4,494	15,048	7,733	−5,936	−3,239	−2,697
1889	10,158	5,234	9,493	5,685	665	−451	1,116
1890	9,753	5,275	10,809	6,001	−1,056	−726	−330
1891	9,427	5,004	11,396	6,233	−1,969	−1,229	−740
1892	12,131	5,991	8,469	4,695	3,652	1,296	2,366
1893	17,385	8,750	10,263	5,460	7,122	3,290	3,832
1894	16,375	8,862	15,708	7,276	667	1,586	−919
1895	14,181	7,681	13,746	7,221	435	460	−25
1896	11,145	6,091	10,032	5,732	1,113	359	754
1897	12,153	6,439	10,250	5,590	1,903	849	1,054
1898	12,524	6,331	10,438	5,721	2,086	610	1,476
1899	11,862	6,644	10,567	6,052	1,295	592	703
1900	11,966	6,108	11,043	5,200	923	908	15
1901	16,968	8,118	12,426	6,138	4,542	1,980	2,562
1902	21,522	8,771	15,600	6,701	5,922	2,070	3,852
1903	20,479	10,404	12,983	6,625	7,496	3,779	3,717
1904	21,980	10,652	14,671	7,606	7,309	3,046	4,263
1905	21,344	11,341	15,390	7,993	5,954	3,348	2,606
1906	25,607	13,626	17,211	9,174	8,396	4,452	3,944
1907	23,228	12,880	19,310	11,068	3,918	1,812	2,106
1908	29,342	15,628	19,707	11,002	9,635	4,626	5,009
1909	24,065	14,585	22,244	11,687	1,821	2,898	−1,077
1910	22,135	13,634	20,451	11,910	1,684	1,724	−40
1911	25,333	16,056	23,539	13,650	1,794	2,406	−612
1912	26,775	17,885	21,914	13,819	4,861	4,066	795
1913	25,891	18,697	18,560	11,809	7,331	6,888	443
1914	22,526	15,120	20,025	12,481	2,501	2,639	−138
1915	14,487	11,064	13,318	9,158	1,169	1,906	−737
1916	11,959	9,840	11,932	9,231	27	609	−582
