EXPECTATION OF LIFE OR AVERAGE AFTER LIFE TIME IN NEW ZEALAND AT EACH YEAR OF AGE.
Age.	Males.	Females.
Years.	Years.	Years.
0	59.165	61.764
1	63.125	64.816
2	62.836	64.503
3	62.168	63.843
4	61.407	63.053
5	60.581	62.211
6	59.724	61.350
7	58.849	60.465
8	57.959	59.576
9	57.057	58.672
10	56.144	57.754
11	55.225	56.834
12	54.306	55.913
13	53.388	54.994
14	52.474	54.079
15	51.570	53.172
16	50.677	52.273
17	49.795	51.385
18	48.923	50.505
19	48.058	49.634
20	47.200	48.770
21	46.348	47.914
22	45.502	47.067
23	44.659	46.226
24	43.819	45.391
25	42.979	44.562
26	42.137	43.740
27	41.296	42.922
28	40.454	42.107
29	39.614	41.292
30	38.775	40.477
31	37.937	39.659
32	37.101	38.841
33	36.268	38.023
34	35.439	37.207
35	34.614	36.396
36	33.794	35.588
37	32.978	34.784
38	32.166	33.981
39	31.353	33.177
40	30.540	32.368
41	29.726	31.555
42	28.913	30.739
43	28.103	29.923
44	27.300	29.107
45	26.507	28.294
46	25.725	27.485
47	24.952	26.680
48	24.188	25.880
49	23.429	25.085
50	22.672	24.295
51	21.919	23.511
52	21.170	22.734
53	20.428	21.963
54	19.695	21.200
55	18.972	20.443
56	18.262	19.694
57	17.562	18.953
58	16.872	18.220
59	16.188	17.494
60	15.508	16.774
61	14.831	16.061
62	14.161	15.357
63	13.502	14.666
64	12.857	13.990
65	12.229	13.331
66	11.618	12.689
67	11.026	12.067
68	10.455	11.463
69	9.907	10.878
70	9.383	10.311
71	8.884	9.762
72	8.407	9.231
73	7.953	8.722
74	7.519	8.237
75	7.102	7.777
76	6.703	7.341
77	6.321	6.929
78	5.958	6.539
79	5.615	6.168
80	5.294	5.815
81	4.995	5.478
82	4.716	5.156
83	4.453	4.848
84	4.201	4.552
85	3.954	4.262
86	3.709	3.976
87	3.467	3.697
88	3.233	3.428
89	3.001	3.165
90	2.765	2.900
91	2.523	2.632
92	2.280	2.366
93	2.046	2.113
94	1.825	1.876
95	1.613	1.650
96	1.409	1.436
97	1.214	1.232
98	1.030	1.042
99	0.864	0.871
100	0.720	0.723
101	0.599	0.600
