Age in Years.	Boys.	Girls.	Total.	Percentages for Five Years.
 	 	 	 	1912.	1913.	1914.	1915.	1916.
5	7,753	6,945	14,698	7.9	8.0	8.0	7.8	7.9
6	10,307	9,441	19,748	10.9	10.6	10.9	10.8	10.6
7	11,101	10,500	21,601	11.9	11.8	11.5	11.7	11.6
8	11,320	10,396	21,716	11.9	11.8	11.7	11.4	11.7
9	10,774	10,089	20,863	11.2	11.7	11.4	11.4	11.2
10	10,653	9,968	20,621	10.8	10.9	11.3	11.2	11.1
11	10,388	9,729	20,117	10.7	10.5	10.5	10.9	10.8
12	10,144	9,325	19,469	10.2	10.2	9.9	10.0	10.5
13	8,293	7,452	15,745	8.2	8.4	8.6	8.5	8.5
14	4,259	3,771	8,030	4.3	4.3	4.4	4.5	4.3
 	94,992	87,616	182,608	98.0	98.2	98.2	98.2	98.2
15 and over	1,675	1,601	3,276	2.0	1.8	1.8	1.8	1.8
Totals	96,667	89,217	185,884	100.00	100.00	100.00	100.00	100.00
