PRIVATE SCHOOLS, 1916.—SUMMARY BY PROVINCIAL DISTRICTS.
Provincial Districts.	Number of Schools.	Number of Teachers.	Number of Scholars (exclusive of Maoris).	Daily Average Attendance.
Boys.	Girls.	Mixed.	Total.	Male.	Female.	Total.	Male.	Female.	Total.	Male.	Female.	Total.
* Exclusive of 223 Maoris (106 boys, 117 girls).
Auckland	6	10	52	68	29	231	260	2,632	3,641	6,273	2,343	3,266	5,609
Taranaki	1	3	13	17	2	39	41	488	610	1,098	442	548	990
Hawke's Bay	2	6	12	20	7	79	86	532	918	1,450	482	842	1,324
Wellington	9	14	49	72	41	206	247	2,414	2,979	5,393	2,120	2,729	4,849
Marlborough	1	 	5	6	 	18	18	168	188	356	144	168	312
Nelson	 	1	12	13	1	37	38	391	477	868	357	430	787
Westland	1	2	10	13	3	30	33	445	478	923	402	440	842
Canterbury	6	9	41	56	18	167	185	1,621	2,379	4,000	1,433	2,150	3,583
Otago portion Southland portion	2	6	23	31	6	120	126	790	1,546	2,336	688	1,344	2,032
Otago	1	1	7	9	3	25	28	310	405	715	269	348	617
Totals	29	52	224	305	110	952	1,062	9,791	13,621	23,412*	8,680	12,265	20,945
