"date_death","age_group","military_binary","deaths"
1918-09-01,"20-24","Y",1
1918-09-02,"20-24","Y",4
1918-09-02,"25-29","Y",2
1918-09-03,"20-24","Y",2
1918-09-03,"25-29","Y",1
1918-09-03,"30-34","Y",1
1918-09-04,"20-24","Y",5
1918-09-04,"25-29","Y",7
1918-09-04,"30-34","Y",4
1918-09-04,"35-39","Y",6
1918-09-04,"40-44","Y",1
1918-09-05,"15-19","Y",1
1918-09-05,"20-24","Y",4
1918-09-05,"25-29","Y",7
1918-09-05,"30-34","Y",2
1918-09-05,"35-39","Y",2
1918-09-06,"20-24","Y",4
1918-09-06,"25-29","Y",3
1918-09-06,"35-39","Y",1
1918-09-06,"40-44","Y",1
1918-09-07,"15-19","Y",1
1918-09-07,"20-24","Y",1
1918-09-07,"30-34","Y",1
1918-09-07,"35-39","Y",1
1918-09-07,"40-44","Y",1
1918-09-08,"25-29","Y",1
1918-09-08,"30-34","Y",1
1918-09-09,"20-24","Y",1
1918-09-10,"25-29","Y",1
1918-09-11,"20-24","Y",1
1918-09-11,"35-39","Y",1
1918-09-12,"20-24","Y",1
1918-09-12,"35-39","Y",1
1918-09-13,"20-24","Y",1
1918-09-13,"25-29","Y",2
1918-09-15,"25-29","Y",1
1918-09-15,"30-34","Y",1
1918-09-18,"30-34","Y",1
1918-10-08,"35-39","Y",1
1918-10-08,"40-44","Y",1
1918-10-09,"20-24","Y",1
1918-10-10,"25-29","Y",1
1918-10-11,"20-24","Y",1
1918-10-11,"25-29","Y",2
1918-10-11,"30-34","Y",1
1918-10-11,"45-49","N",1
1918-10-12,"20-24","Y",1
1918-10-12,"25-29","Y",2
1918-10-12,"30-34","Y",2
1918-10-12,"40-44","Y",1
1918-10-13,"20-24","Y",4
1918-10-13,"25-29","Y",1
1918-10-14,"20-24","Y",3
1918-10-14,"25-29","Y",1
1918-10-14,"35-39","Y",1
1918-10-15,"20-24","Y",1
1918-10-15,"25-29","Y",1
1918-10-15,"30-34","Y",1
1918-10-16,"20-24","Y",6
1918-10-16,"25-29","Y",1
1918-10-16,"30-34","Y",2
1918-10-16,NA,"N",1
1918-10-17,"20-24","Y",1
1918-10-17,"25-29","Y",2
1918-10-17,"35-39","N",1
1918-10-17,"35-39","Y",1
1918-10-18,"20-24","Y",3
1918-10-18,"30-34","Y",1
1918-10-18,"40-44","Y",1
1918-10-18,"45-49","N",1
1918-10-18,NA,"Y",1
1918-10-19,"20-24","N",1
1918-10-19,"20-24","Y",3
1918-10-19,"25-29","Y",6
1918-10-19,"30-34","Y",2
1918-10-19,"40-44","Y",1
1918-10-20,"20-24","Y",4
1918-10-20,"25-29","Y",4
1918-10-20,"30-34","Y",4
1918-10-20,"35-39","Y",1
1918-10-20,"45-49","N",1
1918-10-21,"20-24","Y",1
1918-10-21,"25-29","Y",3
1918-10-21,"30-34","Y",2
1918-10-21,NA,"N",1
1918-10-22,"20-24","Y",2
1918-10-22,"25-29","Y",5
1918-10-22,"30-34","Y",3
1918-10-23,"0-4","N",1
1918-10-23,"20-24","Y",2
1918-10-23,"25-29","Y",2
1918-10-23,"50-54","N",1
1918-10-24,"20-24","Y",3
1918-10-24,"25-29","Y",1
1918-10-24,"30-34","N",1
1918-10-24,"30-34","Y",1
1918-10-24,"35-39","Y",1
1918-10-25,"0-4","N",1
1918-10-25,"20-24","Y",1
1918-10-25,"30-34","Y",2
1918-10-25,"35-39","Y",1
1918-10-25,"40-44","N",1
1918-10-26,"20-24","N",1
1918-10-26,"20-24","Y",4
1918-10-26,"25-29","Y",1
1918-10-26,"30-34","N",1
1918-10-26,"35-39","N",2
1918-10-26,"50-54","N",2
1918-10-26,"75-79","N",1
1918-10-26,"80-84","N",1
1918-10-27,"0-4","N",1
1918-10-27,"10-14","N",1
1918-10-27,"20-24","Y",1
1918-10-27,"25-29","Y",2
1918-10-27,"30-34","N",1
1918-10-27,"30-34","Y",2
1918-10-27,"35-39","N",1
1918-10-27,"35-39","Y",1
1918-10-28,"15-19","N",1
1918-10-28,"20-24","Y",2
1918-10-28,"25-29","N",2
1918-10-28,"25-29","Y",2
1918-10-28,"30-34","N",2
1918-10-28,"30-34","Y",1
1918-10-28,"40-44","N",1
1918-10-28,"45-49","Y",1
1918-10-28,"60-64","N",1
1918-10-29,"0-4","N",1
1918-10-29,"10-14","N",1
1918-10-29,"15-19","N",1
1918-10-29,"20-24","Y",3
1918-10-29,"25-29","N",2
1918-10-29,"25-29","Y",5
1918-10-29,"30-34","N",1
1918-10-29,"35-39","N",2
1918-10-29,"35-39","Y",1
1918-10-29,"40-44","N",1
1918-10-29,"40-44","Y",1
1918-10-29,"90-94","N",1
1918-10-29,NA,"N",1
1918-10-30,"5-9","N",1
1918-10-30,"20-24","N",1
1918-10-30,"20-24","Y",3
1918-10-30,"25-29","N",1
1918-10-30,"30-34","N",1
1918-10-30,"50-54","N",3
1918-10-30,"60-64","N",1
1918-10-30,"70-74","N",1
1918-10-31,"0-4","N",1
1918-10-31,"20-24","N",1
1918-10-31,"20-24","Y",3
1918-10-31,"25-29","N",3
1918-10-31,"25-29","Y",2
1918-10-31,"30-34","N",2
1918-10-31,"30-34","Y",2
1918-10-31,"35-39","N",1
1918-10-31,"35-39","Y",2
1918-10-31,"45-49","N",1
1918-10-31,"50-54","N",1
1918-10-31,"55-59","N",1
1918-10-31,"65-69","N",1
1918-10-31,"70-74","N",1
1918-10-31,"75-79","N",1
1918-11-01,"0-4","N",15
1918-11-01,"5-9","N",3
1918-11-01,"10-14","N",1
1918-11-01,"15-19","N",2
1918-11-01,"20-24","N",1
1918-11-01,"20-24","Y",1
1918-11-01,"25-29","N",4
1918-11-01,"25-29","Y",1
1918-11-01,"30-34","N",6
1918-11-01,"30-34","Y",1
1918-11-01,"35-39","N",3
1918-11-01,"40-44","N",4
1918-11-01,"45-49","N",5
1918-11-01,"50-54","N",6
1918-11-01,"55-59","N",4
1918-11-01,"60-64","N",2
1918-11-01,"65-69","N",4
1918-11-01,"70-74","N",1
1918-11-01,"75-79","N",2
1918-11-01,"80-84","N",2
1918-11-01,"85-89","N",1
1918-11-01,NA,"N",3
1918-11-02,"0-4","N",2
1918-11-02,"20-24","N",1
1918-11-02,"20-24","Y",2
1918-11-02,"25-29","N",1
1918-11-02,"25-29","Y",1
1918-11-02,"30-34","N",2
1918-11-02,"30-34","Y",3
1918-11-02,"35-39","N",4
1918-11-02,"35-39","Y",1
1918-11-02,"40-44","N",3
1918-11-02,"40-44","Y",1
1918-11-02,"45-49","N",2
1918-11-02,"60-64","N",1
1918-11-02,"65-69","N",3
1918-11-02,"70-74","N",1
1918-11-02,"80-84","N",1
1918-11-02,"85-89","N",1
1918-11-02,NA,"Y",1
1918-11-03,"0-4","N",3
1918-11-03,"10-14","N",1
1918-11-03,"20-24","N",2
1918-11-03,"20-24","Y",6
1918-11-03,"25-29","N",2
1918-11-03,"25-29","Y",5
1918-11-03,"30-34","N",3
1918-11-03,"30-34","Y",3
1918-11-03,"35-39","N",3
1918-11-03,"35-39","Y",1
1918-11-03,"40-44","N",6
1918-11-03,"45-49","N",2
1918-11-03,"50-54","N",2
1918-11-03,"55-59","N",3
1918-11-03,"60-64","N",6
1918-11-03,"65-69","N",1
1918-11-03,"70-74","N",2
1918-11-03,"80-84","N",3
1918-11-03,"90-94","N",1
1918-11-04,"0-4","N",3
1918-11-04,"15-19","N",1
1918-11-04,"20-24","N",5
1918-11-04,"20-24","Y",5
1918-11-04,"25-29","N",5
1918-11-04,"25-29","Y",1
1918-11-04,"30-34","N",8
1918-11-04,"30-34","Y",6
1918-11-04,"35-39","N",2
1918-11-04,"35-39","Y",2
1918-11-04,"40-44","N",5
1918-11-04,"40-44","Y",1
1918-11-04,"45-49","N",3
1918-11-04,"50-54","N",2
1918-11-04,"60-64","N",3
1918-11-04,"70-74","N",1
1918-11-04,"75-79","N",3
1918-11-04,"80-84","N",2
1918-11-04,"85-89","N",2
1918-11-05,"0-4","N",1
1918-11-05,"5-9","N",3
1918-11-05,"15-19","N",1
1918-11-05,"20-24","N",4
1918-11-05,"20-24","Y",5
1918-11-05,"25-29","N",5
1918-11-05,"25-29","Y",3
1918-11-05,"30-34","N",10
1918-11-05,"30-34","Y",1
1918-11-05,"35-39","N",4
1918-11-05,"35-39","Y",1
1918-11-05,"40-44","N",5
1918-11-05,"45-49","N",2
1918-11-05,"50-54","N",6
1918-11-05,"55-59","N",2
1918-11-05,"65-69","N",4
1918-11-05,"70-74","N",2
1918-11-05,"75-79","N",2
1918-11-05,"80-84","N",2
1918-11-05,"85-89","N",1
1918-11-05,NA,"N",3
1918-11-06,"0-4","N",7
1918-11-06,"5-9","N",1
1918-11-06,"10-14","N",1
1918-11-06,"15-19","N",2
1918-11-06,"20-24","N",3
1918-11-06,"20-24","Y",2
1918-11-06,"25-29","N",5
1918-11-06,"25-29","Y",6
1918-11-06,"30-34","N",15
1918-11-06,"30-34","Y",1
1918-11-06,"35-39","N",7
1918-11-06,"35-39","Y",2
1918-11-06,"40-44","N",7
1918-11-06,"45-49","N",2
1918-11-06,"50-54","N",1
1918-11-06,"50-54","Y",1
1918-11-06,"55-59","N",2
1918-11-06,"60-64","N",8
1918-11-06,"65-69","N",1
1918-11-06,"70-74","N",4
1918-11-06,"75-79","N",1
1918-11-06,"80-84","N",5
1918-11-06,"85-89","N",1
1918-11-06,NA,"N",1
1918-11-07,"0-4","N",3
1918-11-07,"5-9","N",1
1918-11-07,"10-14","N",2
1918-11-07,"15-19","N",2
1918-11-07,"20-24","N",4
1918-11-07,"20-24","Y",9
1918-11-07,"25-29","N",5
1918-11-07,"25-29","Y",5
1918-11-07,"30-34","N",9
1918-11-07,"30-34","Y",2
1918-11-07,"35-39","N",5
1918-11-07,"35-39","Y",2
1918-11-07,"40-44","N",9
1918-11-07,"40-44","Y",2
1918-11-07,"45-49","N",5
1918-11-07,"45-49","Y",1
1918-11-07,"50-54","N",5
1918-11-07,"55-59","N",5
1918-11-07,"60-64","N",3
1918-11-07,"65-69","N",7
1918-11-07,"70-74","N",4
1918-11-07,"75-79","N",4
1918-11-07,"80-84","N",2
1918-11-07,"85-89","N",3
1918-11-07,NA,"N",1
1918-11-07,NA,"Y",1
1918-11-08,"0-4","N",3
1918-11-08,"5-9","N",2
1918-11-08,"10-14","N",5
1918-11-08,"15-19","N",3
1918-11-08,"20-24","N",5
1918-11-08,"20-24","Y",6
1918-11-08,"25-29","N",9
1918-11-08,"25-29","Y",7
1918-11-08,"30-34","N",9
1918-11-08,"30-34","Y",2
1918-11-08,"35-39","N",13
1918-11-08,"35-39","Y",2
1918-11-08,"40-44","N",4
1918-11-08,"45-49","N",9
1918-11-08,"50-54","N",7
1918-11-08,"55-59","N",4
1918-11-08,"60-64","N",9
1918-11-08,"65-69","N",1
1918-11-08,"70-74","N",4
1918-11-08,"75-79","N",3
1918-11-08,"80-84","N",6
1918-11-08,"85-89","N",2
1918-11-08,NA,"N",3
1918-11-09,"0-4","N",7
1918-11-09,"10-14","N",1
1918-11-09,"15-19","N",5
1918-11-09,"20-24","N",10
1918-11-09,"20-24","Y",3
1918-11-09,"25-29","N",18
1918-11-09,"25-29","Y",6
1918-11-09,"30-34","N",9
1918-11-09,"30-34","Y",7
1918-11-09,"35-39","N",8
1918-11-09,"35-39","Y",1
1918-11-09,"40-44","N",10
1918-11-09,"40-44","Y",2
1918-11-09,"45-49","N",9
1918-11-09,"50-54","N",8
1918-11-09,"55-59","N",5
1918-11-09,"60-64","N",4
1918-11-09,"65-69","N",3
1918-11-09,"70-74","N",5
1918-11-09,"75-79","N",5
1918-11-09,"80-84","N",2
1918-11-09,"85-89","N",1
1918-11-09,NA,"Y",1
1918-11-10,"0-4","N",6
1918-11-10,"5-9","N",1
1918-11-10,"10-14","N",2
1918-11-10,"10-14","Y",1
1918-11-10,"15-19","N",2
1918-11-10,"20-24","N",10
1918-11-10,"20-24","Y",11
1918-11-10,"25-29","N",12
1918-11-10,"25-29","Y",2
1918-11-10,"30-34","N",18
1918-11-10,"30-34","Y",5
1918-11-10,"35-39","N",18
1918-11-10,"35-39","Y",1
1918-11-10,"40-44","N",8
1918-11-10,"40-44","Y",1
1918-11-10,"45-49","N",10
1918-11-10,"50-54","N",9
1918-11-10,"55-59","N",4
1918-11-10,"60-64","N",3
1918-11-10,"65-69","N",5
1918-11-10,"70-74","N",6
1918-11-10,"75-79","N",5
1918-11-10,"80-84","N",1
1918-11-10,NA,"N",2
1918-11-11,"0-4","N",4
1918-11-11,"5-9","N",2
1918-11-11,"15-19","N",3
1918-11-11,"20-24","N",12
1918-11-11,"20-24","Y",5
1918-11-11,"25-29","N",17
1918-11-11,"25-29","Y",6
1918-11-11,"30-34","N",24
1918-11-11,"30-34","Y",3
1918-11-11,"35-39","N",21
1918-11-11,"35-39","Y",2
1918-11-11,"40-44","N",18
1918-11-11,"40-44","Y",3
1918-11-11,"45-49","N",10
1918-11-11,"50-54","N",7
1918-11-11,"55-59","N",4
1918-11-11,"60-64","N",9
1918-11-11,"65-69","N",2
1918-11-11,"70-74","N",2
1918-11-11,"75-79","N",7
1918-11-11,"80-84","N",4
1918-11-11,"85-89","N",1
1918-11-11,NA,"N",5
1918-11-12,"0-4","N",12
1918-11-12,"5-9","N",3
1918-11-12,"10-14","N",3
1918-11-12,"15-19","N",11
1918-11-12,"20-24","N",15
1918-11-12,"20-24","Y",7
1918-11-12,"25-29","N",23
1918-11-12,"25-29","Y",14
1918-11-12,"30-34","N",31
1918-11-12,"30-34","Y",9
1918-11-12,"35-39","N",20
1918-11-12,"35-39","Y",2
1918-11-12,"40-44","N",20
1918-11-12,"40-44","Y",2
1918-11-12,"45-49","N",16
1918-11-12,"50-54","N",17
1918-11-12,"55-59","N",6
1918-11-12,"60-64","N",6
1918-11-12,"65-69","N",2
1918-11-12,"70-74","N",8
1918-11-12,"75-79","N",5
1918-11-12,"80-84","N",6
1918-11-12,NA,"N",4
1918-11-13,"0-4","N",15
1918-11-13,"5-9","N",2
1918-11-13,"10-14","N",3
1918-11-13,"15-19","N",14
1918-11-13,"20-24","N",9
1918-11-13,"20-24","Y",9
1918-11-13,"25-29","N",11
1918-11-13,"25-29","Y",6
1918-11-13,"30-34","N",28
1918-11-13,"30-34","Y",11
1918-11-13,"35-39","N",28
1918-11-13,"35-39","Y",3
1918-11-13,"40-44","N",27
1918-11-13,"40-44","Y",1
1918-11-13,"45-49","N",11
1918-11-13,"50-54","N",12
1918-11-13,"55-59","N",6
1918-11-13,"60-64","N",14
1918-11-13,"65-69","N",6
1918-11-13,"65-69","Y",1
1918-11-13,"70-74","N",3
1918-11-13,"75-79","N",1
1918-11-13,"85-89","N",1
1918-11-13,NA,"N",6
1918-11-14,"0-4","N",14
1918-11-14,"5-9","N",2
1918-11-14,"10-14","N",8
1918-11-14,"15-19","N",9
1918-11-14,"20-24","N",21
1918-11-14,"20-24","Y",13
1918-11-14,"25-29","N",24
1918-11-14,"25-29","Y",20
1918-11-14,"30-34","N",24
1918-11-14,"30-34","Y",4
1918-11-14,"35-39","N",23
1918-11-14,"35-39","Y",7
1918-11-14,"40-44","N",15
1918-11-14,"40-44","Y",6
1918-11-14,"45-49","N",15
1918-11-14,"50-54","N",14
1918-11-14,"55-59","N",9
1918-11-14,"60-64","N",5
1918-11-14,"65-69","N",7
1918-11-14,"70-74","N",9
1918-11-14,"75-79","N",6
1918-11-14,"80-84","N",3
1918-11-14,"85-89","N",1
1918-11-14,NA,"N",7
1918-11-15,"0-4","N",15
1918-11-15,"5-9","N",2
1918-11-15,"10-14","N",4
1918-11-15,"15-19","N",9
1918-11-15,"15-19","Y",1
1918-11-15,"20-24","N",14
1918-11-15,"20-24","Y",7
1918-11-15,"25-29","N",38
1918-11-15,"25-29","Y",11
1918-11-15,"30-34","N",39
1918-11-15,"30-34","Y",10
1918-11-15,"35-39","N",24
1918-11-15,"35-39","Y",10
1918-11-15,"40-44","N",24
1918-11-15,"40-44","Y",3
1918-11-15,"45-49","N",16
1918-11-15,"45-49","Y",2
1918-11-15,"50-54","N",15
1918-11-15,"55-59","N",11
1918-11-15,"60-64","N",2
1918-11-15,"65-69","N",7
1918-11-15,"70-74","N",5
1918-11-15,"75-79","N",6
1918-11-15,"80-84","N",4
1918-11-15,"85-89","N",1
1918-11-15,NA,"N",5
1918-11-16,"0-4","N",20
1918-11-16,"5-9","N",3
1918-11-16,"10-14","N",4
1918-11-16,"15-19","N",9
1918-11-16,"20-24","N",19
1918-11-16,"20-24","Y",5
1918-11-16,"25-29","N",32
1918-11-16,"25-29","Y",8
1918-11-16,"30-34","N",56
1918-11-16,"30-34","Y",10
1918-11-16,"35-39","N",37
1918-11-16,"35-39","Y",5
1918-11-16,"40-44","N",27
1918-11-16,"40-44","Y",3
1918-11-16,"45-49","N",17
1918-11-16,"50-54","N",18
1918-11-16,"55-59","N",8
1918-11-16,"60-64","N",4
1918-11-16,"65-69","N",5
1918-11-16,"70-74","N",8
1918-11-16,"75-79","N",10
