,date_death,military_binary,0-19,20-49,50+
0,1918-09-01 00:00:00,Y,0,1,0
1,1918-09-02 00:00:00,Y,0,6,0
3,1918-09-03 00:00:00,Y,0,4,0
6,1918-09-04 00:00:00,Y,0,23,0
11,1918-09-05 00:00:00,Y,1,15,0
16,1918-09-06 00:00:00,Y,0,9,0
20,1918-09-07 00:00:00,Y,1,4,0
25,1918-09-08 00:00:00,Y,0,2,0
27,1918-09-09 00:00:00,Y,0,1,0
28,1918-09-10 00:00:00,Y,0,1,0
29,1918-09-11 00:00:00,Y,0,2,0
31,1918-09-12 00:00:00,Y,0,2,0
33,1918-09-13 00:00:00,Y,0,3,0
35,1918-09-15 00:00:00,Y,0,2,0
37,1918-09-18 00:00:00,Y,0,1,0
38,1918-10-08 00:00:00,Y,0,2,0
40,1918-10-09 00:00:00,Y,0,1,0
41,1918-10-10 00:00:00,Y,0,1,0
42,1918-10-11 00:00:00,Y,0,5,0
46,1918-10-12 00:00:00,Y,0,6,0
50,1918-10-13 00:00:00,Y,0,5,0
52,1918-10-14 00:00:00,Y,0,5,0
55,1918-10-15 00:00:00,Y,0,3,0
58,1918-10-16 00:00:00,Y,0,9,0
62,1918-10-17 00:00:00,Y,0,5,0
66,1918-10-18 00:00:00,Y,0,6,0
71,1918-10-19 00:00:00,N,0,13,0
76,1918-10-20 00:00:00,Y,0,14,0
81,1918-10-21 00:00:00,Y,0,6,0
85,1918-10-22 00:00:00,Y,0,10,0
88,1918-10-23 00:00:00,N,1,4,1
92,1918-10-24 00:00:00,Y,0,7,0
97,1918-10-25 00:00:00,N,1,5,0
102,1918-10-26 00:00:00,N,0,9,4
110,1918-10-27 00:00:00,N,2,8,0
118,1918-10-28 00:00:00,N,1,11,1
127,1918-10-29 00:00:00,N,3,16,1
140,1918-10-30 00:00:00,N,1,6,5
148,1918-10-31 00:00:00,N,1,17,5
163,1918-11-01 00:00:00,N,21,26,22
185,1918-11-02 00:00:00,N,2,21,7
203,1918-11-03 00:00:00,N,4,33,18
222,1918-11-04 00:00:00,N,4,43,13
241,1918-11-05 00:00:00,N,5,40,19
262,1918-11-06 00:00:00,N,11,50,24
286,1918-11-07 00:00:00,N,8,58,33
312,1918-11-08 00:00:00,N,13,66,36
335,1918-11-09 00:00:00,N,13,83,33
358,1918-11-10 00:00:00,N,12,96,33
382,1918-11-11 00:00:00,N,9,121,36
405,1918-11-12 00:00:00,N,29,159,50
428,1918-11-13 00:00:00,N,34,144,44
452,1918-11-14 00:00:00,N,33,172,54
476,1918-11-15 00:00:00,N,31,198,51
502,1918-11-16 00:00:00,N,36,219,57
527,1918-11-17 00:00:00,N,43,232,50
552,1918-11-18 00:00:00,N,46,284,62
578,1918-11-19 00:00:00,N,51,252,55
604,1918-11-20 00:00:00,N,50,272,58
629,1918-11-21 00:00:00,N,49,271,63
654,1918-11-22 00:00:00,N,58,248,50
677,1918-11-23 00:00:00,N,56,255,55
699,1918-11-24 00:00:00,N,57,231,44
723,1918-11-25 00:00:00,N,53,243,47
746,1918-11-26 00:00:00,N,65,209,48
772,1918-11-27 00:00:00,N,56,184,37
796,1918-11-28 00:00:00,N,34,157,37
818,1918-11-29 00:00:00,N,24,138,41
842,1918-11-30 00:00:00,N,27,118,44
863,1918-12-01 00:00:00,N,36,102,40
887,1918-12-02 00:00:00,N,41,85,42
909,1918-12-03 00:00:00,N,25,92,19
928,1918-12-04 00:00:00,N,20,66,28
950,1918-12-05 00:00:00,N,25,53,19
972,1918-12-06 00:00:00,N,13,49,23
992,1918-12-07 00:00:00,N,15,42,22
1011,1918-12-08 00:00:00,N,22,43,20
1030,1918-12-09 00:00:00,N,19,37,30
1051,1918-12-10 00:00:00,N,5,37,25
1071,1918-12-11 00:00:00,N,7,24,18
1089,1918-12-12 00:00:00,N,19,16,18
1108,1918-12-13 00:00:00,N,11,33,20
1129,1918-12-14 00:00:00,N,16,27,15
1150,1918-12-15 00:00:00,N,13,21,22
1169,1918-12-16 00:00:00,N,8,23,14
1189,1918-12-17 00:00:00,N,2,16,12
1205,1918-12-18 00:00:00,N,4,15,15
1223,1918-12-19 00:00:00,N,4,19,13
1239,1918-12-20 00:00:00,N,4,17,19
1257,1918-12-21 00:00:00,N,7,21,10
1275,1918-12-22 00:00:00,N,4,10,7
1289,1918-12-23 00:00:00,N,6,20,8
1305,1918-12-24 00:00:00,N,6,13,13
1319,1918-12-25 00:00:00,N,5,10,12
1335,1918-12-26 00:00:00,N,4,9,10
1349,1918-12-27 00:00:00,N,4,7,8
1362,1918-12-28 00:00:00,N,6,17,11
1378,1918-12-29 00:00:00,N,7,6,7
1389,1918-12-30 00:00:00,N,4,8,10
